,ph,Temperature,Humidity,Density,Electrical Conductivity,N,P,K,Ca,Mg,Particle Width,Particle Spacing,Cotton Crop,Grain Surface
89,0.6918801,0.2481604,0.53311,0.61615413,0.6178404,0.54437554,0.72178704,0.6139371,0.4209389,0.35896283,0,0,1,2
90,0.6917408,0.2450929,0.5309357,0.6177284,0.6180426,0.54123616,0.7215964,0.61683553,0.41942602,0.35776103,0,0,1,2
91,0.69152534,0.24197975,0.5287745,0.6192449,0.6180674,0.53815496,0.72149205,0.6192462,0.4177928,0.35692486,0,0,1,2
92,0.6912789,0.23885253,0.52661175,0.6207384,0.61805344,0.5350454,0.7213511,0.62159085,0.41612852,0.35609406,0,0,1,2
93,0.6910112,0.23572923,0.52444744,0.6222323,0.61805123,0.53188336,0.72136885,0.6238922,0.41438654,0.35518846,0,0,1,2
94,0.69074374,0.23260586,0.52215123,0.62410027,0.6180721,0.52876246,0.72184414,0.6260709,0.41269103,0.35463074,0,0,1,2
95,0.6904616,0.22949053,0.51989615,0.6259241,0.61806524,0.5256705,0.72217673,0.6282053,0.41115445,0.3541358,0,0,1,2
96,0.6901773,0.22637613,0.5176665,0.62758666,0.61799973,0.52274245,0.7225046,0.6303569,0.40990236,0.35343277,0,0,1,2
97,0.6898932,0.22326374,0.5153994,0.6291262,0.6181791,0.51994044,0.722712,0.6324696,0.40873036,0.3526959,0,0,1,2
98,0.68960935,0.22015163,0.5129352,0.63064194,0.6183235,0.5173879,0.72259516,0.6346539,0.40754956,0.35195985,0,0,1,2
99,0.68931806,0.21709014,0.51018775,0.63217604,0.6183236,0.51471657,0.7225066,0.63689995,0.40633804,0.3512246,0,0,1,2
100,0.593669,0.3827431,0.58339244,0.49489382,0.5891957,0.6126278,0.6741274,0.30607066,0.3553301,0.33865222,0,0,1,2
101,0.5959206,0.38219485,0.5838138,0.49540913,0.5910405,0.6140406,0.67458016,0.3105309,0.35766038,0.34106848,0,0,1,2
102,0.5985068,0.38176775,0.5841377,0.49599397,0.5928964,0.6155256,0.6749588,0.31481498,0.36001265,0.34348446,0,0,1,2
103,0.60091335,0.38104767,0.58442616,0.4966543,0.5947126,0.61700344,0.6753238,0.31883764,0.36243755,0.3458057,0,0,1,2
104,0.60322326,0.38038796,0.5846783,0.49728894,0.596539,0.6183691,0.67573535,0.32249612,0.3652247,0.34795675,0,0,1,2
105,0.6054789,0.37978303,0.58483577,0.4979091,0.59840244,0.6196788,0.67607206,0.3261231,0.3680556,0.34998363,0,0,1,2
106,0.6076889,0.37917915,0.5846987,0.49853483,0.60032135,0.6209373,0.6764882,0.32952935,0.3707855,0.351905,0,0,1,2
107,0.60972846,0.37863585,0.5843956,0.4990678,0.60225135,0.6221985,0.67690736,0.3323166,0.37355083,0.35376632,0,0,1,2
108,0.611721,0.3780671,0.5840379,0.4995668,0.6041576,0.62351936,0.6771945,0.3351328,0.37646845,0.35548767,0,0,1,2
109,0.6136487,0.3775155,0.583671,0.50004464,0.6060442,0.6248203,0.6773526,0.33781904,0.37948978,0.35700187,0,0,1,2
110,0.6155199,0.37697166,0.58329004,0.5007423,0.6077117,0.6260229,0.67742455,0.3407886,0.38250378,0.35846648,0,0,1,2
111,0.61733305,0.37642807,0.58291984,0.50178874,0.6089844,0.62712765,0.6774862,0.34388655,0.3854506,0.35992843,0,0,1,2
112,0.6191464,0.37585804,0.58255404,0.50276935,0.6102823,0.62812114,0.6775682,0.34693038,0.3883989,0.3613186,0,0,1,2
113,0.6210138,0.37517574,0.5821685,0.5036738,0.61172634,0.6289466,0.67772377,0.349931,0.3912447,0.36244363,0,0,1,2
114,0.6228935,0.3744595,0.58178574,0.50455064,0.6130715,0.62976545,0.67790675,0.35292047,0.39399743,0.36355272,0,0,1,2
115,0.62471974,0.37375107,0.581401,0.50539756,0.61424047,0.6307093,0.67805874,0.35613707,0.39684975,0.36461878,0,0,1,2
116,0.62654644,0.37304232,0.58100474,0.5061961,0.61539865,0.63162535,0.6781649,0.35943648,0.39974314,0.36567727,0,0,1,2
117,0.6283729,0.37259698,0.5803234,0.5068468,0.6166288,0.63265365,0.678362,0.36251116,0.4026391,0.3667208,0,0,1,2
118,0.63019925,0.37246668,0.5794779,0.50739175,0.61781347,0.633731,0.6787787,0.36548886,0.40552232,0.36757278,0,0,1,2
119,0.63202584,0.3723039,0.57873166,0.5080229,0.61900425,0.63472325,0.6793292,0.36851346,0.40836772,0.36834997,0,0,1,2
120,0.6338404,0.3721249,0.57812214,0.5090922,0.62022597,0.6356809,0.67993504,0.37153822,0.41121253,0.36912695,0,0,1,2
121,0.6356495,0.3719682,0.577573,0.510448,0.62144285,0.63664067,0.6805344,0.37455943,0.41368526,0.36990428,0,0,1,2
122,0.63747394,0.37182397,0.5769125,0.5117651,0.62280875,0.6376109,0.6811469,0.3780104,0.4161744,0.3707057,0,0,1,2
123,0.6392596,0.37153864,0.57637906,0.5129878,0.6240325,0.6385146,0.6817853,0.38162816,0.41863528,0.3715265,0,0,1,2
124,0.64100677,0.37120384,0.5759371,0.5142065,0.6251707,0.63937753,0.6825324,0.38524276,0.42095977,0.37231383,0,0,1,2
125,0.6428114,0.3707921,0.5755596,0.51539123,0.62631166,0.6401524,0.6833458,0.388862,0.4232078,0.37313053,0,0,1,2
126,0.64461225,0.37017548,0.5751068,0.51663953,0.6273908,0.6408875,0.68417567,0.3924252,0.42530307,0.37398952,0,0,1,2
127,0.646445,0.36911413,0.57436687,0.5179311,0.6284646,0.6414542,0.6850176,0.39626682,0.42647883,0.3749494,0,0,1,2
128,0.6483585,0.3679208,0.5735016,0.5193002,0.62970656,0.641785,0.6858766,0.40014064,0.42784122,0.37619665,0,0,1,2
129,0.6501991,0.3667793,0.5730696,0.52058315,0.6306866,0.6421205,0.6868752,0.40379992,0.42942575,0.3772538,0,0,1,2
130,0.65192515,0.36586562,0.57260954,0.5218457,0.63150626,0.6423654,0.68783313,0.40730503,0.4310223,0.3782962,0,0,1,2
131,0.6535369,0.36498603,0.57197624,0.5231772,0.6323694,0.6426591,0.6885417,0.41082487,0.43262285,0.37940392,0,0,1,2
132,0.6551385,0.3640098,0.5711736,0.5248294,0.6333003,0.64304596,0.6890383,0.41427872,0.43439427,0.38051298,0,0,1,2
133,0.65675133,0.3628692,0.57037836,0.5266744,0.6342259,0.64329696,0.6894268,0.41773766,0.4360395,0.38152504,0,0,1,2
134,0.65836483,0.36174563,0.569642,0.52862614,0.63517284,0.64315325,0.68997014,0.4211537,0.4375119,0.38267377,0,0,1,2
135,0.65997547,0.3606469,0.56906384,0.53054637,0.6358497,0.64287734,0.69053775,0.42447418,0.4390083,0.38396633,0,0,1,2
136,0.6615266,0.35952878,0.56841284,0.53235537,0.6363593,0.64252555,0.6911636,0.42763248,0.4406642,0.38521108,0,0,1,2
137,0.6630109,0.35846415,0.5677554,0.53417844,0.63685685,0.64216316,0.6918417,0.43070364,0.44236755,0.3863797,0,0,1,2
138,0.6644404,0.35736492,0.5671141,0.53592455,0.63725096,0.6418597,0.6925675,0.43393627,0.44409212,0.38741258,0,0,1,2
139,0.66556126,0.3562586,0.566636,0.5373836,0.63748664,0.6414367,0.69317174,0.43728167,0.44578922,0.3882882,0,0,1,2
140,0.66668457,0.3551441,0.5661613,0.5388282,0.6377383,0.6409526,0.693804,0.44079056,0.44727987,0.3890486,0,0,1,2
141,0.66780525,0.35401037,0.56574875,0.5401631,0.6379463,0.64041334,0.6944747,0.4443565,0.44873914,0.38978967,0,0,1,2
142,0.6689259,0.3526902,0.5654979,0.54145694,0.6380567,0.6397367,0.6952664,0.4477505,0.45006546,0.39039522,0,0,1,2
143,0.67009014,0.3513521,0.56515414,0.54286456,0.6380459,0.6390493,0.6960348,0.4509295,0.45146853,0.39086935,0,0,1,2
144,0.67130214,0.3499484,0.5648174,0.54424065,0.6378234,0.6383762,0.6967412,0.45410407,0.45286795,0.3910411,0,0,1,2
145,0.67251396,0.34850067,0.5645736,0.54579955,0.637447,0.6375901,0.6974634,0.45741433,0.45410946,0.39113334,0,0,1,2
146,0.67373145,0.3470059,0.56422794,0.54755884,0.6371241,0.63676405,0.6981882,0.46075183,0.45530662,0.39123464,0,0,1,2
147,0.6749497,0.34550652,0.56416357,0.5492458,0.63670707,0.6359211,0.6988919,0.46414965,0.45642906,0.39144206,0,0,1,2
148,0.676146,0.3440475,0.5643091,0.55108494,0.6360441,0.6350669,0.69966465,0.4675404,0.45750105,0.39166167,0,0,1,2
149,0.6773088,0.34272853,0.5641761,0.5529264,0.6353433,0.6342235,0.70034474,0.47101545,0.45853823,0.39184996,0,0,1,2
150,0.67849195,0.341338,0.5639769,0.5547541,0.63467705,0.6332135,0.7010325,0.47447744,0.4596486,0.39203006,0,0,1,2
151,0.6792353,0.3395783,0.56368005,0.556279,0.63406074,0.63207877,0.70169514,0.477893,0.46076828,0.39216802,0,0,1,2
152,0.6798787,0.33779097,0.56336206,0.55777544,0.63344187,0.6308218,0.70218146,0.48126397,0.46181834,0.39216754,0,0,1,2
153,0.680522,0.33600327,0.56304437,0.5592645,0.6327843,0.62947065,0.70266366,0.48476064,0.4626968,0.39206836,0,0,1,2
154,0.6811386,0.33418882,0.56277037,0.5607763,0.6321124,0.6280429,0.7030675,0.48839498,0.46339884,0.3919477,0,0,1,2
155,0.6816719,0.33227447,0.5625461,0.5622552,0.63134384,0.6265686,0.7034203,0.49200585,0.46401852,0.39179197,0,0,1,2
156,0.68220985,0.33039173,0.5620937,0.56351054,0.6305733,0.62502354,0.7037962,0.49563974,0.4644263,0.3916201,0,0,1,2
157,0.6828064,0.32846153,0.5616059,0.5646977,0.629785,0.6234622,0.70418316,0.4994378,0.464683,0.39144737,0,0,1,2
158,0.68348026,0.32668784,0.56105953,0.565759,0.62903863,0.62182325,0.70472103,0.5034856,0.46479037,0.3911974,0,0,1,2
159,0.6841102,0.3247657,0.5604517,0.5667269,0.62829876,0.620183,0.7053255,0.5075647,0.46485358,0.3908341,0,0,1,2
160,0.68463993,0.3227853,0.5598591,0.56766045,0.6276814,0.6182985,0.7059483,0.51151,0.46479353,0.39045358,0,0,1,2
161,0.6851447,0.32078835,0.5593052,0.5685953,0.6270677,0.6163537,0.70661145,0.5150696,0.46443117,0.38979948,0,0,1,2
162,0.6856772,0.3186581,0.55887336,0.5696501,0.6264313,0.6144529,0.70726496,0.51876354,0.46360585,0.38881016,0,0,1,2
163,0.6862857,0.31643847,0.55835086,0.57099795,0.6259582,0.6125589,0.7079268,0.5224556,0.46244296,0.3879698,0,0,1,2
164,0.6868964,0.3141747,0.55773616,0.5723978,0.6255225,0.61042947,0.7085064,0.5262443,0.46116996,0.38704318,0,0,1,2
165,0.687761,0.31164828,0.5571667,0.5740401,0.6251642,0.6080728,0.70907396,0.53011304,0.4597774,0.3861661,0,0,1,2
166,0.6884839,0.3089647,0.5569678,0.57615393,0.6247276,0.6057865,0.7097973,0.5339009,0.45853388,0.3850801,0,0,1,2
167,0.6890289,0.3062587,0.55676943,0.57824,0.6243215,0.6035409,0.7106539,0.53771895,0.4571831,0.38395143,0,0,1,2
168,0.6896141,0.3036929,0.55648875,0.5803145,0.6239275,0.6012595,0.71160203,0.5414921,0.45592543,0.382793,0,0,1,2
169,0.69022274,0.3010791,0.5562612,0.5823213,0.6234236,0.5990441,0.712687,0.54516274,0.4545948,0.3817343,0,0,1,2
170,0.69083434,0.2984225,0.5560497,0.5843322,0.6226917,0.59669656,0.7138751,0.5485513,0.45292667,0.3808593,0,0,1,2
171,0.6913735,0.2957944,0.5558225,0.5862472,0.6219523,0.5944235,0.7150692,0.5519296,0.45119038,0.37997943,0,0,1,2
172,0.6918963,0.29316664,0.5555527,0.5881303,0.6212414,0.5921244,0.71624315,0.5552827,0.44949654,0.37905627,0,0,1,2
173,0.6923241,0.2904689,0.55525553,0.5898879,0.6205299,0.5899173,0.7173457,0.5586549,0.44783777,0.37804902,0,0,1,2
174,0.6926787,0.28774723,0.554945,0.59155184,0.6197574,0.5876766,0.7183507,0.5621628,0.4462178,0.37672964,0,0,1,2
175,0.6931485,0.2849738,0.5545776,0.5932319,0.6189661,0.58541113,0.7192516,0.56560314,0.44460067,0.3754626,0,0,1,2
176,0.69361866,0.28225634,0.5541312,0.5949658,0.6181545,0.583159,0.7200459,0.569148,0.44291887,0.37418652,0,0,1,2
177,0.69404817,0.27953374,0.5536955,0.5966953,0.61751884,0.58056724,0.7208398,0.5726883,0.44120997,0.37290782,0,0,1,2
178,0.6944772,0.27686962,0.55319095,0.59839547,0.61695033,0.57794785,0.7215936,0.5762176,0.43948007,0.3716528,0,0,1,2
179,0.6949061,0.2742586,0.55258894,0.5999216,0.6166468,0.5751971,0.7222308,0.5798253,0.4376847,0.37040102,0,0,1,2
180,0.69531184,0.27163172,0.55193,0.60142976,0.6163678,0.57258064,0.72266376,0.5834413,0.43585685,0.3691697,0,0,1,2
181,0.6954786,0.26886714,0.5511151,0.6029952,0.6161303,0.5701358,0.72295964,0.5870572,0.43402904,0.36793837,0,0,1,2
182,0.6954792,0.26618305,0.54953974,0.60469115,0.61600655,0.56749415,0.7231754,0.5904572,0.43237197,0.36692187,0,0,1,2
183,0.6951497,0.2636841,0.5476692,0.6065131,0.6160989,0.5645301,0.72330946,0.59386265,0.4313909,0.36604387,0,0,1,2
184,0.69468117,0.26123413,0.54573405,0.608311,0.61623883,0.56151116,0.7234413,0.5972761,0.43042955,0.3651667,0,0,1,2
185,0.6942271,0.25874582,0.5438149,0.6100949,0.6163951,0.55849326,0.72355443,0.60065305,0.42939237,0.36430657,0,0,1,2
186,0.6938846,0.2561559,0.5419344,0.611889,0.6165603,0.5554977,0.72360975,0.6037655,0.42805305,0.36356124,0,0,1,2
187,0.69354194,0.25356612,0.5400125,0.61374885,0.6167377,0.5527018,0.723351,0.6068551,0.42664567,0.36266604,0,0,1,2
188,0.6931424,0.25089562,0.5379893,0.6154693,0.6169656,0.5497277,0.7230614,0.6099493,0.42498365,0.36146748,0,0,1,2
189,0.6928495,0.24789588,0.5358944,0.6170195,0.61722296,0.54663616,0.72273815,0.61299884,0.42345122,0.36022514,0,0,1,2
190,0.6926053,0.2447959,0.5337901,0.61847824,0.61736214,0.5435128,0.7223567,0.6158989,0.42191288,0.35911795,0,0,1,2
191,0.6923384,0.24170046,0.531686,0.619936,0.6174975,0.5403981,0.72208905,0.6183725,0.42027074,0.35830647,0,0,1,2
192,0.69207096,0.23859441,0.529546,0.6214269,0.6175446,0.5372423,0.7219355,0.62069744,0.41857347,0.35745287,0,0,1,2
193,0.69180346,0.23547103,0.52739406,0.6228966,0.6175574,0.53404343,0.7217656,0.622988,0.4168313,0.35654724,0,0,1,2
194,0.691536,0.23234774,0.5251567,0.62462234,0.61758465,0.53088146,0.7219162,0.62525463,0.41525334,0.35573602,0,0,1,2
195,0.6912644,0.22922704,0.5228776,0.6264157,0.61761594,0.52779716,0.7221672,0.62740904,0.4138326,0.3548395,0,0,1,2
196,0.69098043,0.22611472,0.52060837,0.62806153,0.61754775,0.52483904,0.72239023,0.6296102,0.41255802,0.35412365,0,0,1,2
197,0.6906964,0.22305459,0.51826555,0.62964016,0.61747056,0.5221607,0.7225713,0.63173014,0.41139603,0.35341522,0,0,1,2
198,0.69041115,0.22003126,0.51549196,0.63115185,0.6175806,0.5196867,0.7224484,0.6338206,0.41022974,0.352679,0,0,1,2
