classe,Standardabweichung_y,Variance_z,Variance_y,Standardabweichung_z,Effektivwert_x,Mittlere_Absolute_Abweichung_y,Effektivwert_y,Standardabweichung_x,Mittelwert_x,Variance_x,Mittlere_Absolute_Abweichung_x,Mittlere_Absolute_Abweichung_z
2,162.133,238603,26313.5,488.226,649.605,121.894,577.959,332.035,558.336,110358.0,267.152,383.072
2,172.278,249313,29709.4,499.063,671.774,131.277,584.555,325.27,587.776,105906.0,267.481,399.524
2,166.341,260144,27696.9,509.788,678.666,124.456,575.232,332.076,591.872,110385.0,269.55,411.844
2,165.153,239587,27302.8,489.231,664.812,129.182,586.179,329.282,577.536,108535.0,268.927,400.783
2,162.661,219555,26484.9,468.333,651.871,125.049,579.827,321.109,567.296,103214.0,257.651,384.137
2,161.047,217786,25962.2,466.442,657.975,119.332,576.427,339.352,563.712,115275.0,274.012,382.343
2,162.394,256024,26398.1,505.736,678.183,122.02,576.313,321.764,596.992,103636.0,267.561,407.036
2,166.099,242458,27616.6,492.154,666.977,135.38,598.241,330.062,579.584,109050.0,267.219,393.958
2,152.073,252539,23149.2,502.282,657.825,117.129,578.922,330.841,568.576,109565.0,267.005,400.816
2,167.222,229722,27991.2,479.054,661.154,123.465,574.262,329.077,573.44,108400.0,267.325,383.391
2,164.67,236945,27143.3,486.526,660.46,125.239,579.658,327.68,573.44,107482.0,268.308,389.05
2,167.551,245868,28101.4,495.603,683.956,130.97,586.123,323.482,602.624,104745.0,268.347,388.06
2,158.528,255872,25156.3,505.585,658.97,127.135,591.742,330.916,569.856,109615.0,266.729,417.567
2,165.978,239787,27576.2,489.435,666.977,121.447,569.737,330.959,579.072,109644.0,269.779,392.155
2,166.704,251621,27818.0,501.367,653.227,122.107,571.173,325.194,566.528,105857.0,262.554,399.707
2,170.87,242049,29225.8,491.739,656.13,126.493,572.891,327.456,568.576,107335.0,265.523,389.123
2,164.254,266197,27006.3,515.684,674.112,127.047,581.013,326.396,589.824,106641.0,271.749,408.632
1,1096.78,628503,1204120.0,792.385,783.0,310.576,1223.94,517.6,587.52,268178.0,346.97,498.853
1,7532.62,45596400,56797200.0,6749.14,2121.78,2759.5,7535.99,2056.5,522.24,4233430.0,839.864,2604.58
0,9595.83,20739500,92172100.0,4551.79,2719.68,7837.97,9611.34,2651.84,603.648,7039300.0,2098.88,3485.01
0,10246.0,23691700,105086000.0,4864.98,2989.43,8427.46,10246.5,2934.36,571.136,8619110.0,2382.0,3787.29
0,10034.3,18315000,100788000.0,4277.47,2662.5,8321.27,10034.4,2599.11,577.536,6762110.0,2073.53,3360.65
0,9945.44,18753400,99010700.0,4328.35,3073.83,8241.79,9955.53,3004.71,648.192,9037340.0,2386.37,3468.28
0,9898.89,16958100,98086100.0,4115.96,2456.23,8263.99,9905.2,2363.96,666.88,5593910.0,1876.77,3228.71
0,10256.9,18893800,105310000.0,4344.52,2838.13,8549.33,10267.3,2749.75,702.72,7568720.0,2204.84,3471.99
0,11002.2,24640600,121169000.0,4961.45,2716.41,9167.02,11008.0,2637.88,648.448,6965380.0,1988.9,3808.63
0,10499.3,19593000,110346000.0,4424.18,2209.19,8829.35,10504.9,2132.85,575.744,4553600.0,1692.79,3475.0
0,11369.2,24750800,129387000.0,4972.53,2397.56,9740.3,11375.0,2312.81,631.808,5354470.0,1859.28,3892.74
0,10619.5,23192600,112886000.0,4813.46,2216.8,8932.86,10626.3,2136.12,592.64,4567560.0,1723.21,3782.22
0,10464.5,22805900,109615000.0,4773.17,2911.57,8795.03,10467.0,2866.74,508.928,8226430.0,2264.22,3727.13
0,8781.55,16425400,77192800.0,4050.8,2146.57,7154.55,8788.26,2042.35,660.736,4175370.0,1649.57,3195.58
0,11082.3,26031700,122940000.0,5099.58,3122.87,9318.13,11089.1,3061.69,615.168,9383300.0,2483.15,4060.9
0,10976.5,21291400,120604000.0,4611.96,2493.17,9391.72,10980.0,2420.58,597.248,5865050.0,1952.85,3616.94
1,11478.2,23346600,131882000.0,4829.42,3106.94,9889.19,11483.3,3035.14,664.064,9221300.0,2425.66,3849.65
1,11433.9,28851600,130865000.0,5368.68,2674.37,9773.62,11434.8,2611.1,578.304,6824660.0,2091.62,4074.41
1,11531.7,22409200,133113000.0,4731.46,3077.36,9887.32,11535.5,2996.89,699.136,8990350.0,2372.86,3773.73
1,11714.3,34102900,137361000.0,5836.85,2596.5,10074.6,11726.0,2515.21,644.608,6332630.0,2022.8,4688.09
1,11613.6,24400500,135010000.0,4937.21,2916.81,10012.8,11623.9,2871.24,513.536,8252290.0,2250.29,3936.13
1,11912.5,26035700,142050000.0,5099.97,2937.84,10247.3,11912.5,2871.61,620.288,8254390.0,2343.96,4118.44
1,12591.6,28383100,158708000.0,5324.92,2947.39,10999.4,12595.2,2882.81,613.632,8318900.0,2341.43,4225.63
1,12773.3,30424500,163322000.0,5513.08,2659.14,11190.5,12779.3,2589.65,603.904,6713020.0,2054.36,4393.59
0,11229.9,27010500,126236000.0,5194.57,2349.7,9471.1,11231.5,2276.51,581.888,5187670.0,1851.51,4204.84
1,11260.3,28056100,126921000.0,5294.15,2406.93,9466.21,11261.9,2351.45,513.792,5534870.0,1844.59,4154.95
0,11339.5,23527000,128713000.0,4848.04,2289.98,9453.54,11350.6,2215.08,580.864,4911500.0,1762.64,3858.74
1,11996.3,27110100,144055000.0,5204.13,2431.35,10431.5,12001.4,2353.38,610.816,5543930.0,1900.67,4150.24
1,12057.0,25721200,145517000.0,5069.07,2286.34,10423.7,12063.0,2224.51,528.128,4953380.0,1790.7,4071.02
1,12332.8,28348000,152250000.0,5321.62,3247.75,10697.9,12336.4,3204.48,528.384,10279000.0,2585.15,4290.21
1,12253.7,27668700,150305000.0,5257.47,2233.5,10618.4,12254.1,2144.6,623.872,4603920.0,1692.45,4258.69
1,12264.5,22580300,150569000.0,4749.49,3137.41,10813.0,12272.6,3066.71,662.272,9414120.0,2475.19,3735.58
1,12556.9,24560200,157834000.0,4953.34,2867.6,11038.9,12558.8,2796.38,635.136,7827560.0,2218.45,3989.96
1,12295.5,30299100,151330000.0,5501.7,4119.92,10775.4,12304.6,4073.5,616.704,16610000.0,3251.27,4153.3
1,12213.6,30115500,149321000.0,5485.02,3166.2,10690.1,12215.4,3111.22,587.52,9689360.0,2498.13,4385.75
1,12233.0,26636700,149796000.0,5158.5,3986.55,10774.1,12237.6,3947.83,554.24,15601000.0,3214.41,4160.64
1,12303.1,29451800,151517000.0,5424.23,5005.16,10828.9,12311.2,4965.99,624.896,24685800.0,4101.13,4393.49
1,12929.5,38815900,167339000.0,6227.12,5336.55,11434.8,12933.5,5288.15,717.056,27992600.0,4350.41,4707.68
1,11083.3,32756200,122962000.0,5720.44,3930.82,9368.4,11087.3,3898.1,506.112,15210400.0,3178.14,4477.98
1,11077.9,33961500,122844000.0,5824.73,5435.27,9361.76,11080.6,5353.76,937.728,28691500.0,4287.42,4582.44
1,11294.6,25983100,127695000.0,5094.81,5050.15,9637.73,11312.2,5006.16,665.088,25086700.0,4103.47,4022.56
1,11478.1,33421900,131878000.0,5778.27,3612.37,9769.72,11484.5,3565.03,582.912,12722100.0,2860.63,4522.3
1,11475.7,26388500,131824000.0,5134.4,3332.35,9910.5,11476.3,3278.25,598.016,10757700.0,2660.16,4101.43
1,11280.7,26552000,127382000.0,5150.28,3953.0,9615.34,11288.3,3910.24,579.84,15305300.0,3156.56,4009.68
1,10940.7,25691600,119819000.0,5066.16,5383.94,9201.63,10984.2,5363.7,466.432,28798100.0,4372.4,4069.47
0,10141.3,19750900,102949000.0,4441.97,4423.25,8510.9,10157.8,4383.26,593.408,19232200.0,3581.77,3519.81
1,11550.1,35352700,133537000.0,5942.84,5077.49,9885.61,11553.3,5058.25,441.6,25611500.0,4171.48,4735.69
1,11382.4,29894900,129688000.0,5464.89,3950.82,9597.83,11383.3,3908.68,575.488,15293100.0,3104.74,4357.01
1,11076.8,30244500,122819000.0,5496.75,5925.24,9398.17,11084.4,5880.81,724.224,34618600.0,4919.09,4335.66
1,10850.6,32419300,117853000.0,5690.95,5122.53,9164.1,10859.0,5059.35,802.048,25622600.0,4016.21,4383.07
1,11617.9,29103700,135111000.0,5392.08,6513.27,9989.18,11618.7,6484.4,612.608,42089500.0,5292.73,4320.11
1,12910.6,38018500,166851000.0,6162.83,4874.24,11318.0,12911.0,4837.44,597.76,23424300.0,3950.16,4812.4
1,12193.9,26329800,148840000.0,5128.69,3975.3,10704.6,12200.1,3918.53,669.44,15370200.0,3193.09,4156.39
0,11340.9,20731300,128745000.0,4550.89,3824.6,9795.2,11349.8,3787.03,534.784,14355900.0,3037.91,3531.79
1,11666.4,29622100,136242000.0,5439.9,3437.84,10049.7,11676.4,3393.83,548.352,11529600.0,2639.35,4240.08
1,11745.4,29073600,138091000.0,5389.29,3448.57,10215.9,11751.7,3409.3,518.912,11635000.0,2707.59,4037.04
0,10729.4,20052000,115236000.0,4475.71,2702.75,9103.14,10732.4,2625.57,641.28,6900500.0,2102.56,3557.74
0,10630.0,22748000,113109000.0,4767.1,2527.15,8937.9,10641.2,2441.65,651.776,5967640.0,1951.09,3795.36
0,11086.0,22016600,123022000.0,4689.84,2868.09,9453.49,11103.9,2802.29,610.816,7860710.0,2267.37,3719.13
0,10571.8,24588100,111876000.0,4956.16,2748.18,8776.86,10574.1,2663.78,675.84,7102840.0,2075.07,3949.15
0,11089.0,25333300,123089000.0,5030.7,2382.62,9359.57,11098.4,2311.94,576.0,5350430.0,1820.67,3979.55
0,10890.4,26754400,118720000.0,5169.88,2778.64,9123.35,10896.5,2694.62,678.144,7268250.0,2120.4,4027.65
0,10867.9,26064500,118230000.0,5102.78,2986.79,9088.13,10888.7,2919.09,632.32,8529590.0,2350.68,4120.76
0,10359.7,24853800,107431000.0,4982.87,2447.41,8560.25,10372.5,2366.82,622.848,5607460.0,1937.37,3918.13
1,11311.8,32673100,128085000.0,5713.18,2069.6,9599.1,11317.9,1981.55,597.248,3930460.0,1554.69,4435.9
1,11561.8,30731000,133810000.0,5540.78,2193.77,9808.67,11563.4,2117.43,573.696,4488000.0,1687.93,4493.51
1,11972.2,30932200,143478000.0,5558.9,2837.38,10329.1,11980.2,2785.09,542.208,7764480.0,2212.81,4331.32
1,11629.8,25031900,135388000.0,5000.69,2481.7,10037.4,11643.1,2425.9,523.264,5890900.0,1931.36,4014.73
1,11524.8,29835700,132953000.0,5459.47,2662.35,9817.91,11527.4,2593.25,602.624,6731690.0,2058.19,4340.34
0,11700.2,20986700,137031000.0,4578.84,2482.25,10116.4,11708.3,2414.62,575.488,5836210.0,1926.39,3652.17
0,10908.2,27009400,119107000.0,5194.45,2596.82,9236.01,10920.4,2545.27,514.816,6484910.0,2044.84,4134.63
0,11307.3,24124200,127983000.0,4909.18,2297.98,9685.71,11313.4,2231.66,548.096,4985270.0,1759.75,3919.01
0,10130.9,20202200,102737000.0,4492.44,2945.9,8492.23,10147.4,2881.72,611.584,8312620.0,2306.48,3418.2
0,10104.2,17386700,102198000.0,4167.65,2892.87,8380.66,10107.5,2838.83,556.544,8067010.0,2274.88,3290.03
0,9634.5,19678600,92916500.0,4433.84,2718.18,7828.44,9636.6,2651.47,598.528,7037330.0,2111.85,3365.15
0,8709.75,16956300,75935800.0,4115.75,2170.89,7063.68,8719.19,2071.94,647.936,4297240.0,1646.78,3221.95
0,8913.16,18720800,79523900.0,4324.59,2219.8,7110.08,8922.6,2150.75,549.376,4630340.0,1703.14,3352.76
0,9436.19,17308000,89130900.0,4158.21,2302.38,7653.97,9448.96,2213.26,634.368,4903430.0,1734.39,3166.89
0,9634.83,17906500,92922900.0,4229.49,2099.45,7989.42,9648.75,2008.32,611.84,4037380.0,1613.77,3347.68
0,9356.62,17217600,87633900.0,4147.33,2077.97,7641.94,9372.55,2003.82,550.144,4019330.0,1609.52,3279.7
0,10922.3,21029000,119417000.0,4583.44,2138.56,9210.38,10935.4,2048.32,614.656,4199830.0,1631.49,3619.61
0,10761.6,20403700,115929000.0,4514.78,2307.85,9035.6,10770.1,2223.22,619.264,4947640.0,1773.13,3556.34
0,9659.29,16429600,93395300.0,4051.32,2117.31,7893.58,9666.68,2045.55,546.56,4188450.0,1648.02,3208.39
0,9303.04,19269800,86633100.0,4387.54,2657.19,7581.72,9320.02,2616.34,464.128,6852090.0,2106.59,3508.14
0,10217.1,19216600,104493000.0,4381.49,2646.34,8554.51,10245.9,2580.65,585.984,6666400.0,2052.33,3440.28
0,9543.58,20569600,91171100.0,4533.1,2900.71,7820.27,9559.62,2821.18,674.56,7967040.0,2282.26,3573.36
0,9655.06,21787900,93313500.0,4665.42,2843.54,7850.94,9666.56,2779.5,600.064,7733360.0,2267.71,3705.84
0,9736.76,22473900,94899400.0,4738.29,2882.64,8090.61,9750.94,2837.59,507.648,8059990.0,2290.99,3716.05
0,9376.32,20973400,88003300.0,4577.38,2801.05,7661.3,9386.37,2720.01,668.928,7405850.0,2185.57,3662.69
0,9422.96,21992500,88881000.0,4687.27,3189.74,7680.04,9434.04,3135.41,586.24,9840630.0,2556.83,3706.84
0,8126.3,21157200,66102900.0,4597.4,2591.17,6275.23,8144.07,2504.36,665.088,6278100.0,1969.66,3554.24
0,8843.23,23308600,78281000.0,4825.48,2801.79,7050.62,8853.88,2725.17,650.752,7433990.0,2172.29,3844.65
0,9862.5,27815700,97366300.0,5271.42,3279.44,7956.85,9869.83,3193.23,747.008,10206900.0,2550.78,4063.37
0,9323.28,22497600,87010500.0,4740.79,2947.15,7581.09,9335.03,2878.8,631.04,8295770.0,2313.1,3796.14
0,9954.54,19649700,99192100.0,4430.58,3240.48,8254.14,9966.93,3168.01,681.472,10046300.0,2536.27,3465.08
0,9486.56,21540400,90084900.0,4638.84,3201.89,7648.7,9495.71,3137.44,639.232,9853360.0,2464.24,3637.28
0,10144.0,24557600,103003000.0,4953.08,2977.63,8356.91,10158.1,2909.66,632.576,8474620.0,2360.93,3852.64
0,10024.1,22278000,100583000.0,4717.6,2930.39,8160.42,10034.8,2859.42,641.024,8184460.0,2258.65,3706.96
0,10144.5,20674300,103013000.0,4544.63,2450.52,8424.81,10155.6,2365.89,638.464,5603030.0,1861.14,3619.02
0,10076.6,22494400,101640000.0,4740.46,3256.7,8372.41,10092.3,3201.13,599.04,10257500.0,2544.85,3787.57
0,10260.1,20007000,105375000.0,4470.68,2422.78,8510.41,10279.5,2347.23,600.32,5514990.0,1921.0,3519.0
0,10345.3,21316600,107131000.0,4614.68,2880.28,8606.13,10352.5,2830.29,534.272,8018580.0,2291.86,3543.8
0,10670.7,17030400,113979000.0,4124.73,2301.01,9032.86,10675.9,2221.67,599.04,4940750.0,1722.92,3312.13
0,10837.8,23153500,117575000.0,4809.4,2520.79,9156.62,10846.5,2430.06,670.208,5911100.0,1950.94,3792.48
0,10977.6,21151900,120629000.0,4596.81,2145.55,9298.66,10983.0,2053.85,620.544,4222530.0,1612.6,3596.09
0,10077.6,19518900,101660000.0,4415.81,2557.59,8445.1,10086.6,2500.23,538.624,6257420.0,2031.66,3390.8
0,9270.82,20240300,86034200.0,4496.67,2344.32,7510.04,9282.51,2275.54,563.712,5183260.0,1817.81,3601.44
0,8927.76,19732000,79784600.0,4439.85,2998.16,7202.23,8945.54,2942.16,576.768,8664990.0,2355.71,3447.82
0,10743.0,21659900,115527000.0,4651.69,2867.54,9091.07,10753.7,2777.17,714.24,7720380.0,2227.87,3649.95
0,11121.8,23092000,123818000.0,4803.01,2846.09,9493.13,11138.9,2781.9,601.088,7746690.0,2247.44,3769.18
1,11425.1,25849300,130663000.0,5081.68,2877.06,9794.12,11430.7,2790.63,699.904,7795390.0,2239.35,4077.1
1,11430.9,25446200,130795000.0,5041.9,3135.5,9742.11,11434.8,3067.72,648.448,9420320.0,2463.66,3972.29
1,11832.8,27146700,140154000.0,5207.64,3116.34,10263.6,11841.5,3064.22,567.552,9398870.0,2458.65,4064.53
0,11447.7,19202600,131182000.0,4379.88,2333.87,9847.04,11471.6,2241.31,650.752,5028510.0,1809.11,3515.2
1,12036.9,30471000,145033000.0,5517.29,2638.22,10341.1,12058.5,2586.01,522.24,6694140.0,2060.88,4298.77
1,12028.8,28041100,144836000.0,5292.74,2839.79,10387.2,12029.5,2774.16,606.976,7703680.0,2236.51,4268.47
1,12465.1,22804700,155535000.0,4773.04,2510.5,10969.7,12468.4,2437.85,599.552,5949080.0,1954.8,3778.3
1,12627.6,33009300,159615000.0,5742.49,3152.41,11040.1,12638.3,3104.76,546.048,9649160.0,2490.66,4568.6
0,11079.9,29332600,122887000.0,5413.25,2369.87,9210.16,11085.3,2298.3,578.048,5287450.0,1871.43,4303.28
0,11703.3,26610200,137104000.0,5155.92,2284.66,9982.39,11723.1,2219.89,540.16,4932840.0,1721.61,4156.74
1,12199.8,33756200,148983000.0,5807.1,2737.79,10477.6,12212.3,2671.22,600.064,7142550.0,2099.92,4654.0
1,12166.8,27604300,148179000.0,5251.35,2478.17,10519.1,12168.7,2390.71,652.544,5721220.0,1939.28,4264.82
1,12329.7,30649100,152173000.0,5533.39,2499.37,10769.8,12341.8,2432.87,572.672,5924800.0,1930.74,4444.73
1,12582.8,30202600,158484000.0,5492.94,2344.78,11064.2,12592.6,2272.35,578.304,5168740.0,1817.08,4360.78
1,12789.9,32856200,163746000.0,5729.17,2940.05,11245.2,12791.7,2870.17,637.184,8246110.0,2328.82,4574.63
1,12411.5,27932900,154199000.0,5282.51,3258.67,10899.2,12422.2,3211.41,552.96,10323500.0,2592.54,4246.33
1,12271.5,23088500,150740000.0,4802.64,2860.95,10779.4,12272.5,2794.76,611.84,7818520.0,2249.55,3870.55
1,12032.4,36267400,144923000.0,6019.23,3713.54,10453.4,12044.2,3660.5,625.408,13412700.0,2844.58,4821.21
1,12331.5,34360300,152218000.0,5858.84,3247.95,10752.3,12335.8,3176.97,675.328,10103200.0,2563.31,4559.76
1,12420.2,28295000,154417000.0,5316.64,4506.47,10944.8,12422.1,4464.7,612.096,19953500.0,3667.71,4259.61
1,13010.7,50893400,169448000.0,7130.39,3416.19,11503.7,13014.6,3378.26,507.648,11424000.0,2713.41,5358.56
1,11714.5,36729800,137368000.0,6057.48,5258.67,10021.9,11715.2,5233.21,516.864,27413900.0,4252.98,4832.14
0,10486.8,28598900,110084000.0,5345.12,4339.59,8728.73,10503.4,4295.51,616.96,18469900.0,3489.21,4308.35
1,11338.6,31236400,128692000.0,5586.16,4158.85,9695.56,11350.0,4113.36,613.376,16936700.0,3322.06,4258.68
0,10909.9,24948900,119146000.0,4992.39,3815.57,9348.21,10915.0,3754.68,678.912,14111800.0,3015.55,3913.53
1,11685.5,29115500,136688000.0,5393.18,3538.04,10160.4,11699.5,3473.24,674.048,12075400.0,2868.8,4278.17
1,11723.6,34360200,137581000.0,5858.83,4234.45,10032.3,11727.2,4175.56,703.744,17452800.0,3291.0,4648.44
1,11246.4,25946900,126609000.0,5091.27,4669.48,9723.31,11253.2,4614.33,715.52,21313400.0,3749.1,4000.51
1,11226.8,27813900,126166000.0,5271.25,5400.06,9521.15,11241.9,5367.75,589.824,28841600.0,4275.0,4173.95
1,11683.5,25392200,136641000.0,5036.55,4363.39,10092.7,11686.7,4319.3,618.752,18675000.0,3456.55,3896.07
1,11449.8,27134300,131228000.0,5206.45,3751.28,9838.43,11458.3,3705.87,581.888,13747200.0,3037.67,4138.48
0,10579.8,29722700,112043000.0,5449.13,3883.43,8914.8,10590.7,3840.24,577.536,14762200.0,3031.04,4352.16
1,10936.2,28503500,119721000.0,5336.2,3892.77,9298.04,10939.4,3843.12,619.776,14784400.0,3020.49,4241.55
1,10466.9,36271600,109666000.0,6019.58,4315.27,8731.3,10479.2,4268.38,634.368,18237300.0,3340.51,4521.16
1,11706.8,28969100,137185000.0,5379.6,4441.15,10139.9,11709.7,4408.64,536.32,19455600.0,3560.65,4355.52
1,12548.6,29331700,157624000.0,5413.17,4268.37,11155.2,12554.2,4241.96,474.112,18012200.0,3387.77,4346.58
1,12298.2,26782000,151396000.0,5172.55,3889.53,10756.1,12308.3,3857.23,500.224,14893100.0,3122.65,4197.01
1,11512.7,23258700,132675000.0,4820.32,4147.35,10013.4,11513.3,4094.21,661.76,16779400.0,3278.88,3858.97
1,11332.7,25705300,128559000.0,5067.51,3486.06,9708.19,11336.4,3435.09,593.92,11811700.0,2780.22,4046.21
1,11042.1,32803800,122051000.0,5724.59,3708.56,9383.83,11051.3,3662.42,583.168,13426700.0,2829.08,4175.51
0,11213.5,24278500,125868000.0,4924.86,2885.63,9566.57,11219.2,2814.58,636.416,7929780.0,2243.07,3895.15
0,10243.4,23392600,105032000.0,4834.17,2748.65,8509.43,10251.1,2678.33,617.728,7180650.0,2140.42,3745.43
0,11374.5,25390200,129508000.0,5036.35,2567.75,9697.69,11379.3,2488.28,633.856,6197740.0,1959.28,4018.71
0,10749.0,24363100,115657000.0,4933.43,2393.89,9024.45,10758.0,2321.65,583.68,5395440.0,1879.92,3903.44
0,11015.5,27919100,121464000.0,5281.21,2269.13,9285.88,11025.5,2195.95,571.648,4827010.0,1733.25,4181.86
0,11051.8,27338900,122264000.0,5226.04,2560.2,9261.88,11061.8,2490.73,592.384,6209940.0,1942.81,4169.08
0,11089.1,26516600,123092000.0,5146.85,2290.74,9368.66,11091.2,2220.29,563.712,4934630.0,1793.32,4186.44
0,10768.3,27980800,116073000.0,5287.04,2241.62,8962.19,10786.2,2168.17,569.088,4705690.0,1742.71,4230.57
0,10979.6,25041700,120671000.0,5001.67,2951.24,9288.3,10984.4,2892.48,585.984,8374800.0,2243.86,3830.78
1,11945.0,26902900,142825000.0,5184.21,2581.92,10349.4,11947.3,2514.25,587.264,6327770.0,2006.68,4128.74
1,11682.8,26631700,136625000.0,5158.01,2512.99,10089.1,11697.7,2455.98,532.224,6037890.0,1924.34,4118.4
1,11604.9,30504600,134809000.0,5520.34,2481.36,9913.24,11610.5,2418.79,553.728,5856410.0,1915.69,4358.46
1,11332.1,28831700,128545000.0,5366.83,2328.56,9702.74,11336.0,2236.23,649.216,5005710.0,1789.57,4272.71
0,10991.1,23572800,120925000.0,4852.76,2305.72,9332.36,11005.2,2213.11,646.912,4902750.0,1777.01,3815.62
0,10866.1,20814100,118191000.0,4559.97,2174.57,9183.66,10893.9,2079.28,636.672,4327730.0,1662.13,3621.49
0,10671.8,23746200,114001000.0,4870.57,2854.82,9011.34,10685.7,2792.52,593.152,7805970.0,2253.28,3792.7
0,9096.69,16776400,82832500.0,4093.85,2859.05,7427.23,9107.08,2796.14,596.48,7826210.0,2237.79,3249.35
0,9984.73,21422600,99794600.0,4626.14,3016.63,8206.99,9993.98,2944.92,653.824,8681260.0,2342.28,3500.68
0,8883.83,17988700,79001400.0,4239.19,2295.42,7156.46,8912.9,2215.88,599.04,4915030.0,1778.19,3355.95
0,8640.11,17182600,74726300.0,4143.12,2092.87,7022.34,8658.13,2002.45,608.512,4013830.0,1605.33,3267.89
0,8876.64,16745500,78873700.0,4090.08,2507.14,7238.01,8887.9,2430.37,615.68,5912600.0,1958.05,3231.28
0,9372.06,16498300,87923400.0,4059.78,2462.05,7657.62,9387.3,2397.61,559.616,5754270.0,1895.98,3146.95
0,9831.8,20932400,96761000.0,4572.9,2268.77,7983.05,9841.21,2181.82,622.08,4765110.0,1695.01,3571.04
0,9757.81,17508900,95310100.0,4182.27,2102.12,8074.5,9760.66,2034.96,527.104,4145200.0,1626.46,3251.6
0,9632.13,17401300,92870800.0,4169.4,2397.59,7942.32,9649.08,2314.65,625.152,5362970.0,1867.06,3240.24
0,10097.1,18333800,102054000.0,4279.66,2054.39,8250.02,10104.9,1963.23,605.184,3858130.0,1560.02,3401.72
0,9931.96,22004300,98742600.0,4688.52,2884.73,8136.0,9948.31,2838.61,513.792,8065780.0,2296.1,3692.04
0,10015.4,21027800,100408000.0,4583.32,2333.07,8323.49,10022.2,2250.79,614.144,5071120.0,1794.51,3570.61
0,10108.0,24087300,102273000.0,4905.43,2445.88,8400.34,10119.6,2344.74,696.064,5503320.0,1875.42,3924.18
0,9086.57,20190500,82648400.0,4491.14,2646.95,7403.9,9092.93,2594.61,523.776,6738720.0,2099.21,3569.95
0,9571.26,20129000,91700700.0,4484.29,2882.13,7806.09,9575.0,2823.04,580.608,7977560.0,2191.42,3496.03
0,9350.79,21751300,87524900.0,4661.5,2890.4,7617.06,9359.18,2824.45,613.888,7985530.0,2217.35,3666.4
0,8535.28,22577000,72923900.0,4749.15,3006.33,6882.48,8542.32,2946.51,596.736,8690600.0,2382.93,3862.39
0,8257.63,23913100,68256700.0,4887.65,3149.25,6537.82,8274.67,3079.81,657.664,9494730.0,2467.86,3927.42
0,7789.0,20946700,60729300.0,4574.47,2548.2,6060.76,7791.14,2461.39,659.456,6064490.0,1995.11,3637.21
0,8850.44,23082800,78408700.0,4802.05,3165.24,7066.89,8862.3,3107.15,603.648,9664020.0,2506.75,3805.0
0,9535.97,23069000,91025700.0,4800.62,2880.65,7688.37,9543.47,2819.94,588.288,7960050.0,2232.96,3768.8
0,8918.39,21798600,79617300.0,4666.56,3079.82,7112.67,8935.17,3034.87,524.288,9219630.0,2382.51,3620.21
2,5469.91,6813660,29949900.0,2608.99,2237.28,2897.02,5521.07,2140.32,651.52,4585550.0,1364.69,1518.69
2,164.797,270438,27185.3,519.777,666.633,120.422,572.09,334.273,576.768,111850.0,272.751,421.542
2,164.439,247063,27067.2,496.806,679.293,127.028,586.961,338.308,589.056,114567.0,279.724,395.251
2,153.125,273124,23470.7,522.351,663.48,115.786,575.744,340.237,569.6,115877.0,275.354,410.138
