sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),class
6.056499,2.4961853,4.2827897,1.6354082,1
6.5016503,2.774008,5.390001,1.4854895,1
5.915595,2.917544,4.7463593,1.4865627,1
6.0972066,3.0199156,3.8482492,1.2590824,1
5.954019,2.643499,4.238099,1.4717045,1
5.477562,2.8931425,3.8424263,1.2421339,1
7.0663285,3.2021313,5.604438,1.8898325,2
6.584908,2.7376175,5.2838287,2.0355136,2
6.479658,3.1977797,5.319828,1.8426749,2
6.489695,2.9531555,4.690195,1.7594872,2
6.711321,2.460917,5.025766,2.0298722,2
7.132513,3.5698433,5.911542,2.467589,2
6.5968976,2.706209,5.3458247,2.112566,2
6.6517053,2.8319292,6.092623,2.4746444,2
6.650701,3.2199285,5.203029,2.2239265,2
6.1244965,3.0236506,4.7293506,1.9988042,2
6.741382,2.6030505,5.080361,1.945667,2
5.7253633,3.0943146,4.47456,1.8961616,2
6.626236,3.3011637,5.7964067,2.417301,2
7.2222424,2.8305132,6.252287,2.43026,2
6.5640907,3.0795112,5.4161887,1.7709999,2
6.2830453,2.9273696,5.244042,2.0799184,2
6.3751616,2.809784,4.2190375,1.6331068,2
6.2028584,3.569291,5.285607,2.1058214,2
6.879347,2.7869844,5.3905373,1.9792571,2
6.573296,3.5047028,5.347391,2.369541,2
6.9692664,3.0906556,5.969405,2.1667383,2
6.6038065,3.1750357,6.1696763,2.4313543,2
5.9672647,3.012292,5.8803053,1.8842131,2
6.6578293,2.7683048,5.7044773,2.2455363,2
6.602724,3.2635112,5.7266397,2.2496078,2
6.956396,3.2592282,6.117158,2.0333245,2
6.0589175,3.0648983,4.5556545,1.8410981,2
7.1052547,3.4993474,5.8244977,2.2391183,2
6.1356263,2.8901405,4.941769,1.5298512,2
6.7129354,3.1350362,5.5240483,1.9827938,2
6.1272545,2.698747,5.1934934,1.6299027,2
6.9193635,2.8298368,5.303609,1.8684387,2
6.7737017,3.3433652,5.2478223,2.1970174,2
6.0080485,2.9707303,4.09717,1.984497,2
6.0887446,2.771582,5.363709,2.2444935,2
7.33521,2.8013592,6.241605,2.396364,2
6.173491,2.7325554,5.075248,1.8479815,2
6.776649,3.4899797,6.0784826,2.1097972,2
5.866161,2.974287,4.96969,1.7000852,2
6.0140476,2.9826248,5.4873233,1.9526609,2
6.118971,2.6238945,5.5120583,2.1850588,2
6.55855,2.8162007,4.732301,1.903003,2
6.8125215,2.8716598,6.4323683,3.0604737,2
6.521031,3.3966875,6.2800736,2.3477294,2
6.870298,2.909696,5.466708,2.064415,2
6.226483,2.4698925,5.5919013,2.0177402,2
6.6709733,3.3320863,4.535091,2.2657201,2
7.2510366,3.177386,5.5462127,2.0729525,2
6.479589,2.5749316,6.160119,1.9812899,2
5.6481094,3.0664997,4.5934563,1.9579426,2
